C_CI	HH_0	H_CI	H_EN	H_EWG	H_HH	H_IWG	H_PH	H_PTC	H_ci	H_en	H_hh	H_ptc	H_wg	PTC_0	alpha_CIwg	alpha_WGwg	kappa_Bci	kappa_CIptc	kappa_CIwg	kappa_CNen	kappa_CNhh	kappa_CNptc	kappa_CNwg	kappa_ENci	kappa_ENhh	kappa_PTCCI	kappa_PTCHH	kappa_WGen	kappa_WGwg	nu_Bci	nu_CIptc	nu_CIwg	nu_CNen	nu_CNhh	nu_CNptc	nu_CNwg	nu_ENci	nu_ENhh	nu_PTCCI	nu_WGen	nu_WGwg	r_EndoWG	r_ExoWG	r_LMxferHH	r_LMxferPTC	r_LMxferWG	r_MxferWG	class
0.0122706	3.01372	34.461	17.3066	91.9424	45.797	47.9785	38.0516	25.7031	63.0208	62.3179	26.4403	63.3618	81.6174	39.4558	3.47532	4.23372	0.0348851	0.0362778	0.146176	0.0173403	0.011012	0.193192	0.00100375	0.0889869	0.0310813	0.129077	0.00141796	0.00247177	0.0482722	8.90535	9.3426	4.4952	9.83948	8.67679	5.36656	9.1101	3.2927	7.24859	8.15652	6.6737	9.50559	0.0196083	0.565415	0.00325924	0.0136313	0.0154294	0.0617082	1
0.00892084	89.3047	47.9854	13.8744	63.3884	99.1577	57.732	74.9772	86.7524	52.5517	21.5727	51.5256	57.239	37.8682	106.009	3.34158	1.50657	0.156195	0.04004	0.00569308	0.0280695	0.19303	0.208636	0.657595	0.0182506	0.0159248	0.00573906	0.00790127	0.0149023	0.0343113	4.43084	9.49057	4.87776	5.46391	4.15104	9.45395	8.14796	9.76653	9.65557	6.53584	3.44319	1.20035	0.718532	0.0707734	0.00144121	0.0529677	0.0478443	0.706665	1
0.00171488	364.577	39.3299	18.5783	58.4915	12.0185	83.6983	76.7027	94.533	85.3285	22.5383	46.7968	51.6284	90.205	1.26324	4.98904	1.41762	0.458779	0.447192	0.00362913	0.0036049	0.021548	0.331339	0.00820778	0.00949291	0.0018391	0.0181947	0.00277749	0.0111028	0.00178481	5.89987	7.62979	5.6219	5.76642	2.65329	2.50546	1.64131	9.23958	5.36719	5.72241	2.68131	1.70879	0.0428716	0.561389	0.0920213	0.327252	0.0708375	0.21613	1
0.00215457	44.719	99.2996	24.1282	99.3393	45.9577	78.8034	35.9444	57.7531	56.7259	5.97537	52.6991	22.5672	84.0876	7.85697	1.26041	3.20146	0.0859148	0.118974	0.114243	0.00141691	0.00532911	0.156748	0.0377359	0.00112471	0.010989	0.114612	0.0125929	0.0177558	0.0126158	2.95692	1.28958	7.24474	9.64292	5.91598	9.12611	9.4447	5.19468	1.13381	6.50879	3.64091	4.54295	0.00124466	0.655264	0.00161475	0.00748811	0.0156456	0.0612036	1
0.0262593	2.96012	99.3009	16.3982	60.8401	97.3077	31.1711	31.3044	59.8101	94.9619	52.4336	30.7259	61.3516	65.1506	3.04698	1.36015	5.87248	0.0254415	0.486055	0.0980913	0.0163416	0.228883	0.82649	0.00573548	0.00171208	0.0020771	0.631692	0.0418885	0.00284054	0.216393	7.03513	7.97448	9.09092	9.99827	9.33403	5.14568	8.70612	9.60782	5.54007	5.06366	2.79993	8.83258	0.106208	0.164367	0.237591	0.029455	0.0285767	0.0136873	1
0.558654	2.39747	79.5811	37.8498	29.9672	82.2923	71.5319	32.2755	61.8766	79.3498	51.8131	11.2094	84.3241	33.966	198.005	3.5087	3.62287	0.307724	0.0822522	0.68511	0.280619	0.101893	0.663127	0.0031693	0.385799	0.00121728	0.0101857	0.415533	0.393181	0.00446729	1.05773	7.40707	5.57238	6.81841	5.94609	2.4804	7.20597	8.04513	1.9396	4.37563	4.32337	3.06855	0.0150869	0.0587627	0.105196	0.607418	0.0916511	0.220252	1
0.0529818	62.729	55.6686	99.9804	65.7433	52.5232	58.9896	57.1686	37.4089	22.2405	37.8488	91.0818	42.6967	52.4132	3.43261	1.03822	3.66196	0.0183964	0.0977839	0.429591	0.00127131	0.126608	0.20585	0.006821	0.00486556	0.251412	0.162361	0.0149592	0.00113014	0.0951687	3.96161	8.43895	3.86932	6.28873	6.22704	1.45349	9.43071	6.10021	7.00067	4.34902	5.34083	7.40451	0.0053877	0.00166474	0.00155146	0.229557	0.0444966	0.0507791	1
0.0185484	4.51542	24.8786	63.3436	18.7084	8.22723	38.1289	14.0305	78.4799	17.6041	88.388	30.2381	25.4945	9.92678	15.2481	8.73219	8.88673	0.494183	0.00427353	0.46441	0.708272	0.00185854	0.674395	0.0106046	0.163779	0.400725	0.00154218	0.136192	0.0243292	0.26145	4.16868	1.4249	7.15955	9.4501	5.61532	9.18275	7.55323	8.82465	3.33254	9.36679	3.67281	6.65826	0.00315093	0.0060589	0.0365531	0.24012	0.0264909	0.698955	1
0.018364	3.21796	83.4586	32.1949	72.5665	18.9749	93.4556	75.5582	84.5053	14.6907	99.5642	75.8203	16.363	7.77151	2.88602	2.97927	7.81851	0.11344	0.00448647	0.130731	0.00128334	0.00256343	0.0367169	0.166439	0.0339359	0.00778325	0.20043	0.0529071	0.00412647	0.0017426	8.86415	2.39241	8.50767	2.22599	8.53058	3.82074	9.08092	1.87281	5.1137	1.25812	2.71128	5.98244	0.00690079	0.0688311	0.0263367	0.0139639	0.00176618	0.58433	1
0.0853879	1.97703	28.1084	25.8696	43.2981	59.1902	68.0033	14.6971	48.6805	63.4624	81.6732	38.2563	92.6544	51.0989	74.0921	6.70678	1.3915	0.0161282	0.031439	0.0254842	0.00147396	0.00352567	0.0472625	0.398731	0.00377132	0.136473	0.0165931	0.0152097	0.0021397	0.0101114	4.76377	8.02925	8.26669	4.7449	9.82047	1.00434	8.09615	8.6025	4.63445	7.52089	2.27748	4.75168	0.0738659	0.9599	0.107138	0.209034	0.815756	0.166441	1
0.0928368	7.20076	15.899	99.3128	80.3295	9.10978	47.3029	82.9627	8.82915	73.5105	12.9838	33.7501	27.9748	60.6641	4.69385	5.37743	2.52241	0.35865	0.679313	0.00182256	0.0302327	0.383016	0.137711	0.27855	0.455881	0.00187742	0.503213	0.0103464	0.016451	0.0724185	2.96656	1.14005	5.66546	3.99012	2.55799	3.5206	2.21202	9.72098	2.57281	9.56184	3.61549	5.03206	0.0045042	0.592515	0.0405674	0.00481572	0.00224397	0.240039	1
0.00295008	1.26488	16.8458	85.4525	21.9571	91.0704	42.0015	72.8835	75.8223	99.1909	9.91266	98.3348	34.3807	95.071	1.32889	3.05974	1.4813	0.53721	0.012893	0.0974771	0.00208295	0.00314693	0.0251484	0.00984424	0.00348915	0.0370789	0.00259984	0.049732	0.229862	0.00719762	7.36862	6.37438	6.43889	7.60654	1.53633	4.98971	5.15155	7.51842	3.58024	2.00708	1.58736	5.52636	0.0113637	0.173723	0.00978808	0.121604	0.00428693	0.682715	1
0.09821	90.8066	82.7204	95.9205	17.0355	66.4414	54.9442	39.3409	7.40953	56.9972	17.0886	59.6394	18.5412	54.6773	955.133	3.24324	9.18434	0.556202	0.0285766	0.00105741	0.0124925	0.0251182	0.31664	0.114091	0.0345967	0.00643831	0.532063	0.0898327	0.246251	0.00474241	4.65227	3.22973	7.05135	6.89768	2.24059	3.63922	2.33283	1.92421	6.94866	1.70851	9.94427	1.95603	0.139364	0.0281574	0.263306	0.00143425	0.894484	0.00270456	1
0.00602585	41.6958	49.2896	23.3628	5.4186	11.9995	89.4856	55.5355	91.7826	11.4746	68.1535	69.6143	12.6769	40.7115	190.806	9.608	1.72795	0.0108338	0.0161623	0.579579	0.0121685	0.0102043	0.190208	0.00104232	0.00141951	0.0308915	0.0822777	0.0041777	0.0486939	0.00855255	1.47201	6.40758	4.33239	9.24354	5.94353	9.91451	9.87557	4.68253	7.5117	5.7029	4.35002	8.60623	0.110098	0.030658	0.0681391	0.0841507	0.00154521	0.00664121	1
0.102884	25.161	39.6557	70.7665	39.291	72.9322	55.5336	25.4171	69.2941	15.6358	15.7525	43.6022	64.6999	20.5893	2.10067	1.75924	6.85002	0.676244	0.0172254	0.0807577	0.0599095	0.0755907	0.207262	0.297275	0.0411674	0.185126	0.119098	0.032288	0.395736	0.00253622	3.40171	4.57646	3.6178	9.9192	8.67742	3.10624	8.80863	3.01452	6.28773	6.27869	7.60057	6.04168	0.00453526	0.0417321	0.00314484	0.00115637	0.00215187	0.013814	1
0.0077993	1.56724	9.50701	77.1012	51.1268	16.7696	12.7095	26.7293	38.3725	10.8897	48.8428	43.1496	31.2531	45.1599	3.69821	4.13555	2.34575	0.0336235	0.109054	0.00116956	0.0745613	0.167795	0.253927	0.00180679	0.00966546	0.00218299	0.00157358	0.368664	0.776266	0.49587	1.61695	4.29511	4.76834	1.83439	6.22133	5.52384	9.77447	2.8223	1.23687	4.08184	7.33436	4.70284	0.606814	0.153469	0.0195279	0.00139546	0.0237192	0.0041773	1
0.0120892	9.52758	50.083	63.1727	10.3987	68.7063	30.0171	9.69903	57.2165	71.0435	68.6991	17.5678	45.3243	79.205	20.9211	1.47251	1.02771	0.00126434	0.00248999	0.00968612	0.0210034	0.0544006	0.155707	0.00702286	0.00383796	0.0777488	0.0263467	0.0461271	0.865514	0.00186667	4.10242	5.23682	6.22786	8.53753	8.06696	6.44034	5.95259	5.39466	8.16357	3.65123	2.59934	2.40325	0.0597292	0.119846	0.0157973	0.00157695	0.190871	0.0268871	1
0.00154006	1.05371	35.3529	71.1839	75.0652	78.258	93.7244	69.5565	34.403	69.094	41.5884	9.06557	26.0443	65.4352	586.134	1.0875	1.11156	0.0640968	0.00128586	0.0417495	0.0247662	0.00144631	0.0721405	0.144397	0.0427593	0.0381646	0.229866	0.00305135	0.0581375	0.118667	8.2669	9.82114	2.08938	6.18899	2.29912	9.86575	2.50451	1.45697	8.55923	8.97066	8.18016	9.97532	0.00142565	0.0155892	0.42452	0.350699	0.00578303	0.0323065	1
0.187168	473.997	23.7876	14.8608	82.8388	64.6411	62.4372	62.9417	21.1856	68.1922	76.8637	42.8645	34.3366	93.44	402.072	7.75853	4.08427	0.00337497	0.00225787	0.219507	0.0872705	0.00959705	0.775842	0.215474	0.0243611	0.00124917	0.235433	0.662775	0.158448	0.00371886	8.50792	7.73002	1.12427	2.38221	5.82764	1.22466	8.76005	4.39704	5.39733	3.02692	2.18741	5.58878	0.0010965	0.0412931	0.0346626	0.499714	0.0308365	0.0247407	1
0.169171	1.76789	63.2428	85.7839	18.357	76.5573	98.9492	92.7091	95.1676	96.6562	61.6643	51.626	60.3447	5.41759	1.65633	2.93937	4.36082	0.188609	0.187837	0.0012571	0.00595138	0.00599557	0.6174	0.00544874	0.0191653	0.0157553	0.0510674	0.034777	0.200861	0.0676458	8.43937	6.51435	1.11645	8.22312	2.88738	3.51331	8.46386	2.2967	1.28053	8.44846	1.85184	8.96353	0.0615214	0.00732907	0.168177	0.25846	0.306667	0.622949	1
0.00316567	102.382	21.4042	28.5188	31.7914	73.5696	61.4252	23.976	82.5321	80.3576	97.5291	74.5934	39.5553	82.2343	545.555	8.64448	1.87545	0.0183381	0.992156	0.00200541	0.00500678	0.146353	0.330908	0.00254691	0.0316548	0.00531116	0.022777	0.00604133	0.967915	0.0623751	7.08881	5.60957	2.57736	8.62088	2.54763	5.35081	2.41927	3.09392	4.03767	2.48832	3.65117	5.52381	0.0312664	0.0700197	0.0459198	0.0223978	0.00361029	0.282524	1
0.797543	33.2079	15.7523	95.6407	51.7112	30.1466	88.7039	91.2671	29.6209	73.437	86.2574	35.2868	88.2012	49.4194	15.0518	1.08581	2.95643	0.915235	0.113742	0.0368475	0.0060817	0.00786111	0.00468709	0.84946	0.135061	0.00225421	0.00921668	0.348931	0.0422658	0.00398453	7.19637	6.47481	3.15552	6.79728	3.12867	2.26961	4.83704	2.97331	7.17753	7.80236	6.69338	4.11766	0.0193403	0.00156895	0.00652557	0.0684602	0.055295	0.00368516	1
0.00121368	12.2932	71.6666	64.2086	57.1944	50.8884	76.0246	84.7359	46.2186	5.35303	16.3359	20.6795	79.5608	37.44	27.9292	7.81598	5.09143	0.00377874	0.229244	0.0737734	0.0044011	0.0162593	0.573471	0.00148159	0.0105881	0.546555	0.066566	0.116059	0.00294132	0.00899515	7.88021	7.13745	2.28984	2.37715	9.37063	9.86508	8.92103	7.66304	6.64656	8.85077	3.67178	6.13988	0.208113	0.0453154	0.00996398	0.0498899	0.761348	0.618173	1
0.232255	2.10979	19.5989	88.8716	89.1503	75.5159	94.5818	6.89687	81.878	31.5193	24.859	10.8457	66.3476	35.5505	2.34634	3.92867	3.05956	0.0386456	0.123249	0.00389836	0.00132991	0.0400355	0.401377	0.0136081	0.0854993	0.451526	0.0155041	0.0286594	0.00171219	0.146068	9.98146	2.87625	7.44085	1.46737	8.11055	5.32183	7.61839	9.27915	1.0389	7.04567	2.52126	4.9838	0.114535	0.00429095	0.0129312	0.00264456	0.00109744	0.00923203	1
0.0120854	20.2059	85.009	87.486	41.679	80.3424	89.5133	58.7173	94.8516	13.1533	57.2552	70.019	46.3836	21.1471	37.5629	1.80844	4.97876	0.184851	0.00277746	0.407654	0.0330332	0.0443904	0.00316489	0.0021307	0.00256579	0.176226	0.0907038	0.00367068	0.682926	0.393335	2.60608	7.17291	2.77714	8.64361	9.37349	1.15087	4.45595	2.21421	2.36192	1.13746	7.58902	9.41058	0.338933	0.0533632	0.00678691	0.129141	0.022306	0.0636138	1
0.254407	98.5004	96.0273	73.4727	64.3154	85.0225	64.4056	6.35911	7.47891	7.98848	89.8047	48.433	46.8259	9.33588	25.6432	3.49345	3.92531	0.00722853	0.00104554	0.0340772	0.0390236	0.00126592	0.14714	0.00162975	0.0592103	0.0100027	0.00234659	0.195573	0.00633543	0.0292427	4.87869	1.10742	5.1087	4.43334	8.38142	2.70532	5.81865	5.45729	5.85811	6.24921	4.33948	5.6801	0.257834	0.488237	0.00194437	0.0748543	0.0379522	0.00195079	1
0.501189	419.507	43.4017	42.9966	42.3543	65.5434	38.3846	34.5655	81.4899	6.31157	44.1892	18.259	98.6606	99.2344	3.00428	2.32066	8.16647	0.173555	0.0944546	0.0025298	0.0123766	0.528925	0.347792	0.0450761	0.0221438	0.00310338	0.0242765	0.0114389	0.119079	0.0174578	4.72001	7.06593	2.92406	4.39434	6.06171	7.04153	5.08947	2.11039	8.8458	8.71754	1.59321	4.21791	0.318093	0.294589	0.00101356	0.00156911	0.00256068	0.0385352	1
0.0134266	2.37036	12.4221	50.2495	83.0206	8.90751	75.0429	95.5702	8.57981	98.6666	87.1544	27.2024	61.436	66.2164	1.50906	1.17329	6.52513	0.0338942	0.0278617	0.191456	0.0551213	0.062506	0.172798	0.168569	0.299143	0.0104052	0.10416	0.542599	0.00230455	0.0837375	1.21117	5.44029	4.45789	8.77745	7.31434	9.45607	5.12777	5.00208	2.36297	2.02094	9.14311	5.89937	0.0753058	0.0391486	0.596317	0.0278095	0.244539	0.00244766	1
0.0169338	1.03363	99.8059	24.4674	97.2368	37.4835	45.2482	93.4705	47.1474	18.3321	27.2518	63.7794	40.4312	45.567	24.6631	3.57913	2.30519	0.0124197	0.00471302	0.00910554	0.00500791	0.60109	0.108926	0.00523367	0.0546475	0.0931596	0.00100508	0.00234734	0.0139646	0.293577	4.28278	1.8182	5.13332	1.27068	1.33604	2.45002	3.16869	8.36273	2.38427	4.12216	3.46133	3.56398	0.123561	0.0612101	0.199802	0.0254214	0.0640762	0.00233791	1
0.00800026	412.446	54.4422	32.3772	40.618	21.2772	43.4982	39.8936	36.2129	69.7375	95.7006	21.7523	45.5472	25.9363	2.03322	1.16937	2.98798	0.0747369	0.295728	0.0138993	0.0075605	0.00362426	0.497336	0.0481186	0.240738	0.497911	0.0430028	0.0100554	0.0074679	0.0572515	3.60919	7.8719	2.43639	1.64642	6.01584	9.04744	4.22554	5.59258	1.73973	9.13317	5.4699	2.65835	0.00148357	0.413999	0.0311344	0.0121403	0.133033	0.00327004	1
0.00143787	38.063	75.3438	40.6958	83.9781	90.8867	79.1061	88.8237	68.2628	84.7418	83.137	96.4088	19.8445	40.6963	27.7504	9.39941	2.40932	0.0161399	0.00517058	0.00949671	0.00274671	0.448074	0.259453	0.0966174	0.0023442	0.534534	0.259934	0.0248358	0.031299	0.201563	3.52113	4.68461	5.71601	9.18596	3.07574	5.92259	9.13016	7.07289	9.86719	5.03095	5.73194	4.76549	0.0109126	0.0697606	0.805536	0.100486	0.0306693	0.00242331	1
0.150503	263.099	31.7562	35.9635	56.0033	10.4472	72.9876	31.2804	63.4488	26.1746	16.1328	96.7725	96.6967	75.7911	10.5337	6.38774	5.45284	0.0507965	0.0176968	0.00305039	0.0150841	0.0725742	0.769259	0.00247346	0.108492	0.00113411	0.775696	0.00171952	0.0215634	0.00381586	3.45043	3.82768	7.5903	4.0261	8.10869	7.50171	7.01464	9.43741	8.06547	1.59449	6.63411	8.86301	0.0226575	0.0994614	0.00639904	0.0131566	0.0869719	0.00172614	1
0.107936	1.89606	29.3286	94.2156	97.2793	93.7028	98.2992	87.9491	96.1417	55.9168	71.5918	93.2368	19.8004	30.3108	3.22442	6.88382	5.7893	0.00207777	0.272607	0.333441	0.0104064	0.131634	0.579719	0.504249	0.0113226	0.037831	0.416885	0.0165096	0.116162	0.00360216	3.52634	6.09237	7.78461	3.32244	1.54848	1.85887	1.38114	6.14263	2.63508	3.67652	5.8516	7.98149	0.0515551	0.0212275	0.717777	0.0320155	0.00124418	0.00179892	1
0.0297871	87.3617	71.3507	97.562	20.5138	98.1268	34.2401	47.7105	9.01297	59.6325	12.6044	22.4512	14.8854	77.0391	107.045	8.77405	5.38237	0.0445946	0.168248	0.493303	0.00213878	0.820872	0.0013177	0.286136	0.0257959	0.00254607	0.00297083	0.957163	0.943677	0.0330597	7.04525	5.58931	4.0808	5.62852	7.47522	2.93203	5.47649	7.31114	4.38798	1.77301	1.22922	3.86609	0.113477	0.0412338	0.885184	0.115794	0.0579449	0.0011745	1
0.0012298	32.9197	78.2165	59.8275	54.4147	82.3052	54.6738	45.9858	74.4387	38.2729	19.3309	43.5899	28.2083	47.0755	2.79961	2.28992	3.83401	0.413652	0.0122227	0.1403	0.00754803	0.216558	0.142379	0.00401939	0.00374176	0.00186665	0.00107165	0.12671	0.10719	0.00214028	7.31034	9.21189	6.3962	4.20681	3.01849	9.56057	8.99734	8.22675	2.92087	3.74803	6.32803	4.55876	0.0450432	0.0052271	0.0642693	0.1645	0.212644	0.12042	1
0.00463952	277.485	99.4165	65.55	91.1346	26.0282	56.7855	8.44177	23.9743	20.5645	80.5663	28.2492	77.4516	51.7558	209.362	7.81591	1.14072	0.413962	0.47395	0.00675892	0.00621678	0.490901	0.684798	0.00139258	0.0841985	0.00237063	0.0393997	0.128242	0.0364458	0.081488	7.33359	7.40293	1.363	6.07658	7.85888	8.69472	1.77109	9.61726	6.32252	5.38902	3.90582	7.66214	0.0247945	0.229215	0.0731923	0.00111323	0.0268499	0.0149166	1
0.0055102	1.00114	94.796	93.9199	41.7703	73.7444	15.3254	9.48384	91.3445	38.4776	96.9536	33.1936	5.89282	21.1887	150.157	2.47675	1.214	0.937095	0.137603	0.0146537	0.0156748	0.00852949	0.262826	0.00275529	0.0193685	0.00677267	0.0127528	0.853482	0.538356	0.0499339	8.17707	9.73731	9.70299	2.56792	7.88208	3.86688	5.13876	9.64932	4.77972	9.63046	3.93966	5.96351	0.00255569	0.0421437	0.248346	0.00207369	0.0473745	0.505475	1
0.0447358	4.20878	5.01763	53.4334	99.7923	55.2498	62.7133	40.534	77.4249	63.0441	10.1167	30.6112	58.4272	54.4927	135.235	1.65935	3.26244	0.165088	0.00589083	0.0019309	0.0331815	0.0126072	0.127186	0.00221945	0.0207068	0.00193975	0.512947	0.269069	0.0828164	0.0256341	2.33691	1.73924	3.01505	8.9773	9.76608	8.80926	2.45975	9.19792	8.10971	6.51495	1.06398	8.1849	0.00394735	0.00525315	0.481417	0.640317	0.599181	0.00176619	1
0.989623	47.7553	31.894	12.1634	39.8279	20.0132	67.3171	26.155	31.3537	84.9904	60.4104	35.4846	18.0636	47.9236	2.36625	1.21861	9.71484	0.370947	0.352307	0.0165812	0.00230897	0.00309474	0.931124	0.00113033	0.00662696	0.0521338	0.0834147	0.190624	0.0650664	0.0771779	3.29961	3.53925	8.7349	5.55195	3.56652	6.4891	9.56774	4.1788	3.17561	4.0694	5.11307	1.5966	0.0635705	0.0928749	0.0180457	0.0161008	0.0137163	0.00439727	1
0.00216792	16.2739	37.9058	54.2457	43.4227	15.6198	22.3798	47.6377	39.5581	75.5186	83.9921	29.819	70.8789	40.1166	191.055	2.30687	1.53392	0.166337	0.00467519	0.00271353	0.00664931	0.243389	0.205082	0.00582909	0.524057	0.0417754	0.00147962	0.0114429	0.00632242	0.00625714	4.59556	3.90211	4.59645	2.29662	4.87486	8.46599	9.99439	7.0097	9.62735	8.42707	1.73297	5.10804	0.00286198	0.00315782	0.0355629	0.00904554	0.00109579	0.00170752	1
0.00117897	31.1663	13.2279	55.2089	28.851	57.3123	30.7437	57.0422	27.5195	15.8222	87.9248	69.5152	23.7083	28.4707	666.213	2.32389	7.61014	0.0387119	0.263908	0.00218508	0.00496541	0.00978459	0.158292	0.00503611	0.257967	0.00878268	0.0268441	0.0136941	0.00117757	0.027037	1.27964	2.00799	6.94352	5.98544	8.16133	2.91067	8.4789	8.4748	6.64421	1.67569	5.78391	2.43986	0.869668	0.00490327	0.808126	0.00463386	0.019918	0.284636	1
0.00598235	42.2911	73.9244	89.1707	92.1162	10.8311	65.725	51.7198	31.493	79.1412	51.443	96.5006	85.2849	38.0481	5.10349	5.77711	1.66259	0.643604	0.0120709	0.00777111	0.15139	0.155149	0.482142	0.00423434	0.0266383	0.309277	0.0029365	0.0130466	0.0338662	0.00210237	9.43052	4.24133	9.62956	5.86716	9.90625	6.41629	8.53013	2.61022	3.41518	9.12337	7.70868	7.51485	0.0375528	0.00127912	0.00233835	0.376636	0.405389	0.232557	1
